F1,F3,F4,F5,F8,F9,F10,F11,F12,F13,EXPOSURE,CLAIMNO
F,4,20,1,C,S3,M2,L2,B,0,1.00,0
P,2,14,3,M2,S5,M2,L1,D,0,1.00,0
F,1,0,2,M2,S3,M2,L1,B,3,28.80,2
P,10,4,2,H1,S5,M2,L2,D,0,1.00,0
F,4,2,3,M1,S2,M1,L2,B,0,1.61,0
F,10,10,2,M1,S1,M0,L2,D,0,44.35,1
F,14,14,2,M2,S3,M2,L2,B,0,4.00,0
F,14,20,1,C,S2,M1,L1,B,0,7.21,0
P,5,10,2,H1,S5,M2,L2,D,1,1.26,1
F,4,6,2,M1,S3,M1,L1,B,1,1.94,0
F,5,14,2,M2,S2,M2,L1,B,0,7.00,0
F,11,20,2,M1,S0,M1,L1,B,0,16.73,0
F,1,8,2,M1,S2,M3,L2,D,0,1.00,0
F,6,10,2,M2,S2,M2,L3,B,0,2.00,0
F,11,8,3,M2,S2,M1,L2,D,0,4.00,1
F,5,4,2,H2,S1,M2,L1,D,2,1.00,0
F,6,4,2,H1,S2,M2,L2,D,0,9.00,1
F,13,20,2,M1,S3,M1,L1,B,0,9.44,0
F,2,14,3,M1,S2,M2,L2,B,0,2.00,0
F,1,6,2,H2,S1,M3,L2,B,3,1.00,0
F,3,14,2,C,S5,M0,L1,B,0,0.77,0
F,6,4,2,H1,S2,M2,L3,D,2,2.00,0
F,1,0,3,M2,S1,M2,L2,D,0,18.71,1
F,11,4,2,M2,S1,M3,L2,D,1,2.17,0
F,10,8,2,C,S2,M1,L1,B,0,6.45,1
F,1,2,2,M2,S3,M3,L3,D,2,2.08,0
P,5,8,2,C,S5,M0,L2,B,0,1.00,0
P,14,0,2,M1,S0,M1,L1,B,0,7.74,1
F,2,10,2,H1,S3,M2,L2,D,1,3.36,0
F,1,10,2,M2,S2,M2,L4,D,1,4.26,0
F,6,8,2,M2,S3,M2,L2,D,0,11.61,2
F,3,10,3,H1,S1,M2,L2,D,0,5.16,0
F,11,4,2,M1,S1,M2,L2,B,0,13.54,0
F,1,2,2,H2,S3,M3,L2,D,4,4.70,0
F,3,0,2,M2,S2,M3,L2,D,0,1.00,0
F,1,14,3,M1,S2,M1,L4,B,0,1.27,0
F,1,10,2,H1,S3,M2,L1,D,2,1.00,0
F,14,14,1,M2,S2,M1,L1,D,0,1.00,0
F,10,8,2,C,S3,M1,L2,B,0,5.00,0
F,9,10,2,M2,S1,M2,L2,B,1,3.78,0
F,1,6,2,M2,S3,M1,L3,D,1,3.00,0
P,1,4,3,H2,S5,M2,L2,D,0,0.14,0
