F1,F3,F4,F5,F8,F9,F10,F11,F12,F13,EXPOSURE
F,2,4,2,H2,S1,M2,L2,D,1,1.00
F,15,10,2,C,S1,M2,L2,D,0,1.00
F,4,14,1,M2,S1,M1,L1,B,0,1.00
F,1,8,2,M2,S2,M2,L2,D,0,964.96
F,7,14,2,M1,S1,M0,L2,B,0,19.67
F,14,8,2,M1,S1,M2,L2,B,0,13.42
F,7,8,2,M1,S2,M1,L2,D,0,43.47
F,14,10,2,M2,S0,M2,L2,D,0,39.81
F,1,2,2,M2,S1,M1,L2,E,0,3.50
F,4,6,2,M2,S2,M1,L2,D,0,36.76
F,3,20,2,C,S2,M0,L1,B,0,81.90
F,7,20,2,C,S2,M0,L2,B,0,17.83
F,9,4,2,M2,S3,M2,L1,D,1,1.00
F,1,6,2,M2,S2,M2,L1,B,0,21.81
F,5,6,2,M1,S1,M1,L3,D,0,20.80
F,8,14,2,M1,S1,M0,L1,D,0,16.78
F,4,8,2,H1,S1,M2,L2,D,1,8.00
F,1,20,2,H1,S1,M1,L1,D,0,2.00
F,13,10,2,M1,S3,M1,L1,B,0,14.93
F,13,10,2,M2,S1,M2,L1,B,0,1.17
F,4,14,2,C,S2,M1,L2,B,0,35.04
F,2,0,2,M1,S3,M1,L2,D,0,9.35
F,10,4,2,M2,S1,M2,L3,D,0,30.63
F,3,4,2,M1,S1,M2,L3,D,0,6.49
F,2,10,2,C,S2,M0,L1,D,0,5.74
P,4,2,2,M1,S1,M1,L2,B,0,6.00
F,1,6,2,M1,S3,M0,L1,B,0,26.00
F,7,2,2,M1,S2,M2,L2,B,0,1.23
F,11,20,2,M1,S2,M0,L1,B,0,9.53
P,1,4,2,M1,S2,M2,L2,D,0,9.00
F,13,14,2,C,S3,M0,L2,B,0,8.83
F,1,6,2,M1,S2,M1,L2,D,1,25.22
F,7,6,2,M1,S2,M1,L1,B,0,57.98
F,1,6,2,H1,S2,M2,L1,D,0,38.67
F,1,8,2,M2,S3,M3,L2,D,1,3.00
F,1,14,3,M1,S1,M2,L2,B,0,6.07
P,12,10,2,M2,S5,M2,L2,D,1,1.00
F,4,0,2,M1,S2,M1,L2,D,1,3.00
F,11,20,2,M1,S2,M0,L2,D,0,10.08
F,1,4,3,M1,S1,M1,L2,B,0,3.00
F,4,4,2,M2,S2,M3,L2,D,0,3.00
F,10,20,2,M1,S2,M0,L1,B,0,9.36
P,1,4,2,C,S2,M0,L2,B,0,1.00
F,1,0,2,H1,S2,M3,L1,B,2,4.00
F,5,6,3,H1,S1,M2,L2,D,0,1.00
F,12,8,2,H1,S1,M3,L1,B,2,1.00
F,1,2,3,M2,S2,M2,L3,D,0,10.26
F,10,2,2,M2,S1,M2,L3,D,0,3.73
F,10,14,2,M1,S3,M0,L2,D,0,2.00
F,10,2,2,H1,S1,M2,L2,D,3,1.00
F,9,2,2,H1,S2,M2,L2,D,1,5.00
P,11,20,3,M1,S5,M1,L2,D,0,2.23
P,1,2,2,H1,S2,M2,L2,D,2,2.00
F,12,6,2,M2,S2,M1,L3,D,0,1.71
F,6,14,1,C,S2,M0,L1,B,0,1.00
F,1,0,3,M1,S2,M2,L2,D,0,1.00
F,14,20,2,C,S1,M1,L1,D,0,5.21
F,13,0,2,M1,S2,M1,L2,B,2,2.00
P,10,0,2,M2,S2,M2,L2,D,2,1.00
F,2,6,3,M1,S1,M2,L2,B,0,3.04
F,2,0,2,H1,S1,M3,L1,D,1,3.00
F,10,0,2,M1,S1,M2,L2,B,0,9.00
F,2,14,2,H2,S3,M2,L1,B,1,0.51
F,6,14,2,M2,S2,M2,L2,D,0,23.25
F,10,14,1,M1,S3,M0,L1,B,0,1.00
F,4,14,2,M2,S1,M2,L3,D,0,5.94
F,5,0,2,M1,S1,M1,L1,B,2,2.00
F,2,2,2,M2,S2,M2,L3,B,0,1.00
F,1,0,2,C,S1,M1,L2,B,0,9.00
F,11,0,2,M2,S2,M1,L1,D,0,1.48
F,7,14,3,M1,S1,M2,L1,B,0,1.00
F,10,6,2,H1,S1,M2,L2,E,0,0.50
F,7,8,2,M2,S0,M3,L1,D,2,1.00
F,3,2,2,M2,S2,M2,L2,D,2,6.80
F,1,20,2,M1,S2,M1,L2,B,1,2.00
F,2,6,2,M1,S3,M0,L1,B,1,1.00
F,8,8,2,M1,S2,M0,L1,D,0,2.88
F,1,14,3,M1,S2,M1,L3,D,0,8.58
P,3,6,2,M1,S1,M1,L3,B,0,1.00
F,4,0,3,M1,S1,M1,L2,B,0,1.00
F,14,20,3,M1,S1,M2,L2,B,0,1.00
F,14,10,2,H2,S2,M3,L2,B,0,2.39
P,2,2,2,H2,S5,M3,L2,D,4,3.00
F,11,2,2,M2,S1,M1,L3,D,1,4.26
F,1,2,2,H1,S3,M3,L2,D,2,6.64
P,10,6,2,M2,S5,M2,L4,D,0,1.00
F,10,2,2,H1,S2,M3,L2,D,4,0.53
P,2,2,2,M2,S2,M2,L3,D,1,1.78
F,12,14,2,M1,S0,M3,L4,B,0,0.11
F,6,4,3,M2,S2,M2,L3,D,0,0.38
P,2,8,2,H1,S5,M2,L1,D,1,1.00
F,4,2,2,M2,S1,M3,L2,D,0,2.00
F,8,0,2,M2,S1,M3,L2,B,2,0.87
F,10,14,2,H1,S1,M3,L4,D,0,1.00
P,1,0,3,M2,S5,M1,L2,D,0,1.00
F,3,0,2,M2,S2,M2,L1,B,1,2.00
F,1,4,3,M2,S2,M2,L3,D,1,2.50
F,11,2,2,H1,S1,M2,L3,D,3,0.74
F,8,10,2,M2,S1,M1,L2,B,0,1.20
F,5,8,2,H1,S2,M3,L2,D,0,2.97
F,1,0,2,H1,S1,M2,L3,D,2,3.00
F,5,10,2,H2,S1,M3,L2,B,1,0.29
F,10,8,2,M1,S2,M1,L2,B,1,1.00
